store_id,store_name,product_category,date,Unit sales,DOLLAR SALES,store_zip,promotion_flag
LA002,Store_2,household,4/8/24,7.0,612.26,90003,TRUE
LA001,Store_1,produce,9/20/24,,186.97,90019,FALSE
LA010,Store_10,Beverages,3/23/24,18.0,148.38,90012,FALSE
LA002,Store_2,Household,10/9/24,47.0,418.89,90034,FALSE
LA010,Store_10,Household,10/7/24,3.0,598.52,90003,TRUE
LA007,Store_7,Household,3/12/24,43.0,247.61,90024,TRUE
LA009,Store_9,Produce,8/13/24,41.0,622.46,90012,TRUE
LA004,Store_4,Household,7/9/24,37.0,789.97,90024,FALSE
LA003,Store_3,Produce,12/18/24,48.0,530.28,90014,TRUE
LA009,Store_9,Beverages,2/5/24,44.0,385.72,900XX,FALSE
LA009,Store_9,Personal Care,1/22/24,44.0,797.46,90028,TRUE
LA005,Store_5,Snacks,1/24/24,17.0,874.98,90018,FALSE
LA009,Store_9,Produce,6/25/24,50.0,830.97,90021,TRUE
LA002,Store_2,Household,4/2/24,37.0,852.79,900XX,TRUE
LA009,Store_9,Produce,11/16/24,11.0,245.9,90015,TRUE
LA005,Store_5,Household,8/17/24,16.0,209.98,90020,TRUE
LA001,Store_1,beverages,4/3/24,22.0,73.06,90025,TRUE
LA010,Store_10,Produce,8/26/24,7.0,96.27,90015,TRUE
LA002,Store_2,household,2/8/24,35.0,409.27,90010,TRUE
LA008,Store_8,Personal Care,2/2/24,35.0,754.06,90034,TRUE
LA003,Store_3,Snacks,4/28/24,4.0,156.53,900XX,FALSE
LA005,Store_5,Personal Care,11/23/24,13.0,274.07,90020,TRUE
LA006,Store_6,personal care,8/17/24,34.0,150.12,90003,TRUE
LA010,Store_10,produce,7/4/24,37.0,229.13,90021,FALSE
LA005,Store_5,Household,4/9/24,43.0,584.5,90034,TRUE
LA001,Store_1,Personal Care,2/3/24,33.0,246.03,90033,TRUE
LA006,Store_6,Snacks,9/23/24,42.0,480.76,90019,TRUE
LA003,Store_3,Beverages,12/18/24,19.0,548.3,90007,FALSE
LA009,Store_9,Beverages,2/21/24,18.0,49.24,90005,FALSE
LA003,Store_3,Personal Care,12/14/24,8.0,76.97,90033,TRUE
LA006,Store_6,Produce,7/5/24,,334.54,90032,
LA006,Store_6,Produce,11/4/24,36.0,796.88,90021,TRUE
LA003,Store_3,Produce,7/1/24,22.0,706.32,90025,TRUE
LA005,Store_5,Beverages,7/28/24,,428.91,90034,FALSE
LA004,Store_4,Produce,7/11/24,5.0,870.53,90024,FALSE
LA001,Store_1,household,3/19/24,17.0,44.05,90013,FALSE
LA007,Store_7,Personal Care,2/13/24,13.0,236.7,90001,TRUE
LA006,Store_6,Household,10/11/24,8.0,650.58,90011,FALSE
LA007,Store_7,Personal Care,3/7/24,25.0,612.81,90021,FALSE
LA009,Store_9,Household,5/7/24,38.0,549.93,90016,TRUE
LA009,Store_9,Produce,11/3/24,43.0,573.32,90031,TRUE
LA005,Store_5,Produce,3/1/24,,885.7,90028,FALSE
LA010,Store_10,Snacks,8/13/24,42.0,621.98,90032,TRUE
LA007,Store_7,Personal Care,8/2/24,8.0,416.25,90025,FALSE
LA008,Store_8,Personal Care,7/27/24,29.0,808.52,90017,TRUE
LA005,Store_5,Personal Care,8/21/24,29.0,78.96,90010,TRUE
LA003,Store_3,Snacks,12/5/24,5.0,379.23,90016,TRUE
LA007,Store_7,Personal Care,12/1/24,49.0,522.36,90013,FALSE
LA007,Store_7,Personal Care,10/8/24,18.0,397.89,900XX,FALSE
LA003,Store_3,Produce,10/18/24,,360.68,90001,FALSE
LA003,Store_3,Produce,1/9/24,14.0,414.68,90033,FALSE
LA005,Store_5,Snacks,1/24/24,23.0,209.56,900XX,TRUE
LA001,Store_1,Produce,1/20/24,9.0,431.47,90007,FALSE
LA006,Store_6,Personal Care,12/23/24,11.0,868.6,90001,FALSE
LA007,Store_7,Produce,2/19/24,41.0,226.14,90011,TRUE
LA010,Store_10,Household,9/14/24,5.0,460.31,90032,FALSE
LA002,Store_2,Household,11/27/24,10.0,397.58,90024,FALSE
LA008,Store_8,Personal Care,5/11/24,6.0,258.25,90028,FALSE
LA006,Store_6,household,3/16/24,17.0,312.9,90026,TRUE
LA009,Store_9,Beverages,4/24/24,36.0,684.77,90024,FALSE
LA001,Store_1,produce,7/23/24,43.0,527.58,90018,FALSE
LA006,Store_6,Household,5/9/24,47.0,181.4,90019,TRUE
LA004,Store_4,Snacks,5/24/24,49.0,476.93,90004,FALSE
LA004,Store_4,Household,1/23/24,18.0,50.51,900XX,TRUE
LA008,Store_8,beverages,10/10/24,29.0,313.23,90010,FALSE
LA002,Store_2,Snacks,8/3/24,44.0,57.71,90020,TRUE
LA004,Store_4,snacks,10/20/24,15.0,700.37,90034,FALSE
LA005,Store_5,Beverages,10/24/24,49.0,194.93,90025,TRUE
LA003,Store_3,Produce,1/14/24,39.0,428.22,900XX,FALSE
LA008,Store_8,produce,5/26/24,38.0,598.45,90015,TRUE
LA003,Store_3,Produce,2/2/24,20.0,539.59,90034,TRUE
LA008,Store_8,Snacks,5/17/24,29.0,81.59,900XX,FALSE
LA010,Store_10,Beverages,4/22/24,37.0,532.54,900XX,FALSE
LA010,Store_10,produce,8/17/24,18.0,171.53,90024,TRUE
LA008,Store_8,Household,6/22/24,11.0,303.53,90011,FALSE
LA009,Store_9,beverages,6/9/24,50.0,369.72,90001,FALSE
LA007,Store_7,personal care,6/20/24,41.0,403.42,900XX,TRUE
LA005,Store_5,Snacks,2/1/24,39.0,721.39,90011,FALSE
LA002,Store_2,Beverages,8/4/24,10.0,453.55,90018,FALSE
LA008,Store_8,Produce,8/18/24,13.0,830.46,90033,TRUE
LA005,Store_5,Snacks,6/26/24,1.0,261.73,90020,FALSE
LA003,Store_3,Snacks,6/11/24,35.0,345.72,90032,TRUE
LA010,Store_10,Snacks,1/11/24,46.0,822.95,90025,TRUE
LA008,Store_8,Produce,9/19/24,7.0,788.03,90018,TRUE
LA003,Store_3,Produce,2/16/24,17.0,311.32,90024,FALSE
LA009,Store_9,Household,11/23/24,32.0,786.42,900XX,FALSE
LA004,Store_4,Snacks,2/25/24,7.0,404.87,90033,
LA006,Store_6,Household,6/12/24,16.0,482.74,90029,TRUE
LA002,Store_2,Snacks,10/22/24,38.0,137.37,90010,TRUE
LA008,Store_8,Personal Care,3/3/24,23.0,889.01,90015,FALSE
LA005,Store_5,Snacks,8/4/24,37.0,329.47,90026,FALSE
LA005,Store_5,beverages,10/24/24,19.0,700.41,90029,TRUE
LA010,Store_10,Produce,11/4/24,42.0,45.09,90002,TRUE
LA002,Store_2,Household,12/14/24,9.0,710.0,90013,FALSE
LA003,Store_3,Snacks,5/24/24,8.0,426.81,900XX,TRUE
LA007,Store_7,Personal Care,6/3/24,1.0,245.37,90013,FALSE
LA010,Store_10,Household,2/22/24,2.0,561.4,90012,TRUE
LA002,Store_2,Snacks,12/10/24,8.0,134.4,90011,TRUE
LA002,Store_2,Personal Care,3/13/24,43.0,854.95,90019,TRUE
LA007,Store_7,Snacks,10/14/24,18.0,39.12,90016,TRUE
LA006,Store_6,household,9/21/24,26.0,255.53,90032,TRUE
LA004,Store_4,Personal Care,1/2/24,16.0,890.05,90007,TRUE
LA010,Store_10,Produce,6/25/24,39.0,12.52,90005,FALSE
LA003,Store_3,beverages,3/1/24,16.0,534.08,900XX,TRUE
LA007,Store_7,Beverages,8/15/24,33.0,538.36,90008,TRUE
LA009,Store_9,Beverages,1/16/24,28.0,620.63,90034,TRUE
LA006,Store_6,Beverages,3/9/24,38.0,498.04,90021,FALSE
LA009,Store_9,Beverages,12/4/24,42.0,791.16,90032,FALSE
LA004,Store_4,Snacks,7/14/24,21.0,389.82,90013,FALSE
LA002,Store_2,beverages,2/14/24,48.0,341.66,90002,FALSE
LA002,Store_2,Snacks,12/2/24,39.0,288.08,90018,FALSE
LA004,Store_4,Household,9/12/24,18.0,520.95,90032,TRUE
LA010,Store_10,Household,1/6/24,49.0,285.0,90001,TRUE
LA010,Store_10,Beverages,3/24/24,2.0,91.66,90014,FALSE
LA003,Store_3,Household,10/20/24,4.0,148.47,90002,FALSE
LA008,Store_8,Snacks,10/15/24,14.0,681.9,90015,FALSE
LA009,Store_9,Beverages,4/13/24,4.0,16.84,90007,FALSE
LA005,Store_5,Beverages,8/24/24,9.0,348.38,90018,FALSE
LA002,Store_2,Beverages,7/1/24,5.0,777.28,90020,FALSE
LA005,Store_5,beverages,6/6/24,40.0,419.49,90013,TRUE
LA004,Store_4,Snacks,9/3/24,20.0,673.77,90028,TRUE
LA009,Store_9,Household,6/24/24,42.0,735.38,90005,TRUE
LA010,Store_10,Beverages,3/25/24,30.0,681.46,90016,FALSE
LA006,Store_6,Beverages,8/15/24,18.0,536.36,90003,FALSE
LA001,Store_1,household,2/21/24,6.0,557.36,90016,TRUE
LA008,Store_8,Personal Care,11/7/24,31.0,456.22,90016,FALSE
LA002,Store_2,Produce,1/8/24,29.0,476.42,90013,FALSE
LA007,Store_7,Household,11/20/24,41.0,586.1,900XX,FALSE
LA005,Store_5,Personal Care,3/11/24,43.0,135.87,90024,FALSE
LA003,Store_3,Beverages,5/18/24,22.0,733.73,90031,TRUE
LA007,Store_7,Beverages,6/10/24,14.0,314.14,90007,TRUE
LA003,Store_3,beverages,9/25/24,48.0,796.48,900XX,TRUE
LA010,Store_10,Produce,3/27/24,40.0,730.05,90016,
LA006,Store_6,Produce,8/20/24,48.0,707.58,90008,FALSE
LA004,Store_4,Personal Care,8/15/24,50.0,349.87,90006,TRUE
